State,Deaths per Year,Average Potential Life Years Lost per Death,"Deaths per 10,000 Adults",Percentage of Adults who Binge Drink 1+ Times per Month,Median Drinks per Binge,Top 25% Drinks per Binge,Median Binge per Month,Top 25% Binge per Month,Increase in Alcohol Deaths per Capita from 2015 to 2019,Male Proportion of Deaths,Percent Deaths from Chronic Causes,Percent Deaths from Acute Causes,Percent Deaths 35+,Percent Deaths under 21,Years of Life Lost per Year,Taxpayer Cost in 2010 (billions),Inflation Adjusted Cost to 2022 (billions),Inflation Adjusted Per Drink (2022)
Alabama,"2,208",27.0,6.06,13.6%,5.5,7.2,1.7,4,44.8%,71.5%,49.8%,50.2%,79.9%,3.94%,59606,3.724,5.028,3.06
Alaska,433,30.7,7.83,16.0%,5.4,7.1,1.9,4.4,45.0%,65.4%,52.4%,47.6%,77.1%,3.93%,13285,0.8272,1.17,3.04
Arizona,"3,670",25.8,6.62,16.7%,5.5,7.9,1.5,3.8,40.9%,68.3%,59.2%,40.8%,84.1%,2.75%,94686,5.946,8.028,2.27
Arkansas,"1,407",25.5,6.08,16.0%,5.6,9.2,1.9,4.5,52.1%,69.8%,55.7%,44.3%,83.4%,3.55%,35826,2.073,2.799,3.06
California,"15,443",24.4,5.04,16.6%,5.5,7.7,1.6,3.7,40.0%,69.1%,64.4%,35.6%,86.1%,2.49%,376899,35.011,47.264,3.29
Colorado,"2,623",27.2,5.82,19.8%,5.6,7.6,1.6,3.7,45.4%,67.7%,61.3%,38.7%,83.1%,2.78%,71300,5.057,6.826,2.89
Connecticut,"1,426",25.4,4.97,18.7%,5.2,6.5,1.6,3.5,55.3%,68.2%,55.2%,44.8%,84.9%,2.17%,36201,3.029,4.089,2.75
Delaware,466,26.9,5.95,18.3%,5.3,7.3,1.7,4.4,65.3%,70.2%,53.6%,46.4%,81.3%,2.79%,12543,0.8038,1.085,2.21
District of Columbia,392,26.7,6.95,22.5%,5.2,6.7,1.5,3.4,82.9%,67.6%,53.3%,46.7%,82.1%,3.32%,10473,0.9184,1.24,2.89
Florida,"10,655",24.0,6.16,17.5%,5.5,7.3,1.8,4.9,54.0%,69.2%,60.8%,39.2%,85.9%,2.34%,255673,15.322,20.685,2.46
